date,rainfall_mm
2026-05-13,0.0
2026-05-14,0.0
2026-05-15,0.0
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,0.0
2026-05-19,0.0
2026-05-20,0.0
2026-05-21,0.0
2026-05-22,0.0
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,0.0
2026-05-26,0.0
2026-05-27,0.0
2026-05-28,0.0
2026-05-29,0.0
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,0.0
2026-06-02,0.0
2026-06-03,0.5
2026-06-04,3.9
2026-06-05,0.0
2026-06-06,14.6
2026-06-07,1.5
2026-06-08,0.2
2026-06-09,0.2
2026-06-10,3.5
2026-06-11,0.0
2026-06-12,0.5
2026-06-13,2.5
2026-06-14,0.0
2026-06-15,2.5
2026-06-16,12.7
2026-06-17,1.7
2026-06-18,1.5
2026-06-19,17.0
2026-06-20,0.2
2026-06-21,0.0
2026-06-22,0.0
2026-06-23,2.3
2026-06-24,4.7
2026-06-25,0.0
2026-06-26,0.0
2026-06-27,1.1
2026-06-28,1.5
2026-06-29,8.9
2026-06-30,1.9
2026-07-01,0.3
2026-07-02,0.1
2026-07-03,2.4
2026-07-04,0.5
2026-07-05,1.4
2026-07-06,0.1
2026-07-07,6.0
2026-07-08,0.3
2026-07-09,2.1
2026-07-10,27.2
2026-07-11,36.5
2026-07-12,23.4
2026-07-13,0.1
2026-07-14,0.0
2026-07-15,0.0
2026-07-16,0.5
2026-07-17,0.0
2026-07-18,0.8
2026-07-19,0.2
2026-07-20,10.2
2026-07-21,0.2
2026-07-22,2.9
2026-07-23,4.4
2026-07-24,1.5
2026-07-25,1.1
2026-07-26,1.3
2026-07-27,0.8
2026-07-28,1.1
2026-07-29,2.7
2026-07-30,3.6
2026-07-31,1.4
2026-08-01,0.6
2026-08-02,6.8
2026-08-03,9.2
2026-08-04,0.2
2026-08-05,1.2
2026-08-06,1.3
2026-08-07,10.1
2026-08-08,0.0
2026-08-09,0.0
2026-08-10,0.0
