date,rainfall_mm
2026-05-13,0.0
2026-05-14,0.0
2026-05-15,0.0
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,0.0
2026-05-19,0.0
2026-05-20,0.0
2026-05-21,0.0
2026-05-22,0.0
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,0.0
2026-05-26,0.0
2026-05-27,0.0
2026-05-28,0.0
2026-05-29,0.0
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,0.0
2026-06-02,0.0
2026-06-03,12.5
2026-06-04,12.5
2026-06-05,0.0
2026-06-06,17.2
2026-06-07,0.5
2026-06-08,0.4
2026-06-09,0.0
2026-06-10,7.5
2026-06-11,0.0
2026-06-12,0.9
2026-06-13,15.3
2026-06-14,1.0
2026-06-15,8.4
2026-06-16,0.9
2026-06-17,6.8
2026-06-18,0.7
2026-06-19,10.8
2026-06-20,1.8
2026-06-21,0.0
2026-06-22,0.0
2026-06-23,0.1
2026-06-24,7.9
2026-06-25,2.5
2026-06-26,0.0
2026-06-27,0.0
2026-06-28,1.0
2026-06-29,25.2
2026-06-30,13.3
2026-07-01,2.3
2026-07-02,0.0
2026-07-03,6.2
2026-07-04,0.3
2026-07-05,5.0
2026-07-06,3.8
2026-07-07,17.9
2026-07-08,0.0
2026-07-09,7.3
2026-07-10,25.1
2026-07-11,16.1
2026-07-12,2.7
2026-07-13,1.6
2026-07-14,0.1
2026-07-15,0.0
2026-07-16,0.3
2026-07-17,0.2
2026-07-18,0.2
2026-07-19,0.8
2026-07-20,22.7
2026-07-21,1.5
2026-07-22,19.0
2026-07-23,15.8
2026-07-24,3.1
2026-07-25,12.7
2026-07-26,9.6
2026-07-27,1.7
2026-07-28,0.7
2026-07-29,5.7
2026-07-30,3.9
2026-07-31,3.9
2026-08-01,2.6
2026-08-02,4.7
2026-08-03,2.2
2026-08-04,0.0
2026-08-05,0.8
2026-08-06,0.5
2026-08-07,4.9
2026-08-08,0.0
2026-08-09,0.0
2026-08-10,0.0
